PassengerId,Survived_pred,Prob_survived
892,0,0.15380900245136825
893,0,0.41552864216874563
894,0,0.12505526947319845
895,0,0.14106294048552814
896,0,0.46256343065070527
897,0,0.17438678436683114
898,1,0.8596173971467824
899,0,0.16342814704607708
900,1,0.7893753731495965
901,0,0.09794321924021442
902,0,0.14071617524976165
903,0,0.15155940192512182
904,1,0.8970537862964599
905,0,0.15466107793438752
906,1,0.9185436832098692
907,1,0.8982011469837569
908,0,0.13110821693856586
909,0,0.16592126961208234
910,0,0.4201177973907897
911,1,0.5338662051419141
912,0,0.2670956959137986
913,1,0.5252403860010824
914,1,0.9102271833875042
915,0,0.2839292949675725
916,1,0.5196355825863754
917,0,0.13335285001871341
918,1,0.9034400427008888
919,0,0.16075361698009294
920,0,0.15062967727414978
921,0,0.15142546272114288
922,0,0.15023344831773242
923,0,0.13337964598980562
924,0,0.33765395326045333
925,0,0.3692474006049853
926,0,0.21166960293240147
927,0,0.17755197705297518
928,1,0.5214398765829235
929,1,0.5478540660795952
930,0,0.14160172928474035
931,0,0.25761839184265295
932,0,0.10504739864157887
933,0,0.15138136716183373
934,0,0.15204039922452456
935,1,0.8701319356871805
936,1,0.919577333833672
937,0,0.13950457511300507
938,0,0.15427499362275224
939,0,0.14816525044240203
940,1,0.8229325528071373
941,0,0.5128035720702462
942,0,0.17638441232261057
943,0,0.1285031347599377
944,1,0.7508766792680682
945,1,0.8624393531641725
946,0,0.1276030425002836
947,0,0.12430526560522878
948,0,0.1482897317911113
949,0,0.13914934166889528
950,0,0.11211544513030576
951,1,0.834586502328561
952,0,0.15506457393537076
953,0,0.14109720428939698
954,0,0.15076832879995125
955,1,0.8682830650218095
956,0,0.5138849512463692
957,1,0.8817786056305901
958,1,0.8662583660840951
959,0,0.15182892249754915
960,0,0.14947411682168757
961,0,0.2483919972653012
962,1,0.8680955492834856
963,0,0.14281184191273216
964,1,0.5184790207913658
965,0,0.15162077132535856
966,1,0.8615470567862379
967,0,0.15524230529739622
968,0,0.14092086693970224
969,1,0.811000234088695
970,0,0.13883417905257114
971,1,0.8680955492834856
972,1,0.6501282409047459
973,0,0.5
974,0,0.1511433515652979
975,0,0.14071617524976165
976,0,0.12795384502618776
977,0,0.14512674799172098
978,1,0.8657302444236041
979,1,0.5617983210868681
980,1,0.8640393529346234
981,1,0.8795752901848575
982,0,0.4581090223170063
983,0,0.14055654034054982
984,1,0.9267476808469606
985,0,0.14092086693970224
986,0,0.15850120002753987
987,0,0.13933727678795707
988,1,0.7117984442402349
989,0,0.14162112197321042
990,1,0.5498582292231888
991,0,0.1462579953206296
992,1,0.9048131541716669
993,0,0.1348712893063141
994,0,0.14816525044240203
995,0,0.1394524076459284
996,1,0.8227127340720677
997,0,0.16487773186261548
998,0,0.14974262732622037
999,0,0.14816525044240203
1000,0,0.1418120555812991
1001,0,0.15591539610403193
1002,0,0.12846420372936487
1003,1,0.8640760252459523
1004,1,0.8625801318866686
1005,1,0.8660499943729111
1006,1,0.8146415702204977
1007,0,0.20162716730372546
1008,0,0.14949210579848984
1009,1,0.8439886293601271
1010,0,0.15695284146572785
1011,1,0.8641642592549729
1012,1,0.8614895975098005
1013,0,0.14890763992786601
1014,1,0.9063729514231231
1015,0,0.139870098094202
1016,0,0.14816525044240203
1017,1,0.7464436200151597
1018,0,0.1411550394378817
1019,1,0.7842400436247783
1020,0,0.15054407061389324
1021,0,0.1398629554275576
1022,0,0.14507891371104753
1023,0,0.1524071462957363
1024,0,0.2892197719061721
1025,0,0.14039858336216893
1026,0,0.1520347706762594
1027,0,0.1396100220172135
1028,0,0.15200200704126887
1029,0,0.1378149452226777
1030,1,0.5370695602770965
1031,0,0.19959201932093112
1032,0,0.2056132624539095
1033,1,0.8874803323184304
1034,0,0.2503798945971195
1035,0,0.14883467728242525
1036,0,0.15105822173666666
1037,0,0.11119094053216895
1038,0,0.15143038855860777
1039,0,0.14148107875052143
1040,0,0.15138136716183373
1041,0,0.12687140980960157
1042,1,0.8932753239312696
1043,0,0.1506828340755609
1044,0,0.14933434374183654
1045,0,0.505527261691385
1046,0,0.09314410946457566
1047,0,0.13922030188595197
1048,1,0.8595969091147695
1049,1,0.536333619634317
1050,0,0.15105822173666666
1051,1,0.6243790641482271
1052,1,0.8640183677984129
1053,1,0.616226249123497
1054,1,0.8672414907520793
1055,0,0.1395474030094943
1056,0,0.15007291910587528
1057,0,0.44193409049622384
